customer_id,routine_flg,name,class,gender,start_date,end_date,campaign_id,is_deleted,campaign_name,class_name,price,customer_start,customer_end,mean,median,max,min,tmp_customer_end,membership_period
AS002855,1,XXXX,C03,F,2016-11-01 00:00:00,,CA1,0,通常,ナイト,6000,2016-11-01,,4.5,5.0,7,2,2019-04-30,29
AS008805,1,XXXXX,C01,M,2018-06-07 00:00:00,2019-03-31 00:00:00,CA2,1,入会費半額,オールタイム,10500,2018-06-07,2019-03-31,4.0,4.0,8,1,2019-03-31,9
AS009013,0,XXXXX,C03,M,2017-08-01 00:00:00,2018-04-30 00:00:00,CA2,1,入会費半額,ナイト,6000,2017-08-01,2018-04-30,2.0,2.0,2,2,2018-04-30,8
AS009373,1,XX,C01,F,2015-11-01 00:00:00,,CA1,0,通常,オールタイム,10500,2015-11-01,,5.083333333333333,5.0,7,3,2019-04-30,41
AS015233,1,XXXXX,C01,M,2018-05-13 00:00:00,,CA2,0,入会費半額,オールタイム,10500,2018-05-13,,7.545454545454546,7.0,11,4,2019-04-30,11
AS015315,1,XXXXX,C01,M,2015-07-01 00:00:00,,CA1,0,通常,オールタイム,10500,2015-07-01,,4.833333333333333,5.0,7,3,2019-04-30,45
AS015739,1,XXXXX,C03,M,2017-06-01 00:00:00,,CA1,0,通常,ナイト,6000,2017-06-01,,5.583333333333333,5.5,8,4,2019-04-30,22
AS015746,0,XXXXX,C01,M,2017-12-01 00:00:00,2018-08-31 00:00:00,CA3,1,入会費無料,オールタイム,10500,2017-12-01,2018-08-31,2.6,3.0,4,1,2018-08-31,8
AS019120,0,XXXX,C01,M,2018-08-07 00:00:00,2018-10-31 00:00:00,CA1,1,通常,オールタイム,10500,2018-08-07,2018-10-31,5.333333333333333,5.0,8,3,2018-10-31,2
AS019860,1,XXXXXX,C03,F,2017-10-01 00:00:00,,CA1,0,通常,ナイト,6000,2017-10-01,,6.083333333333333,6.0,9,4,2019-04-30,18
AS024181,1,XXXXX,C02,F,2016-10-01 00:00:00,,CA1,0,通常,デイタイム,7500,2016-10-01,,5.083333333333333,5.0,8,3,2019-04-30,30
AS025956,1,XXXXXX,C01,M,2018-05-09 00:00:00,2019-02-28 00:00:00,CA2,1,入会費半額,オールタイム,10500,2018-05-09,2019-02-28,4.4,4.5,7,1,2019-02-28,9
AS029624,1,XXXXX,C01,M,2018-05-08 00:00:00,2019-01-31 00:00:00,CA2,1,入会費半額,オールタイム,10500,2018-05-08,2019-01-31,4.777777777777778,5.0,8,1,2019-01-31,8
AS030404,0,XXXX,C01,M,2017-05-01 00:00:00,2018-05-31 00:00:00,CA1,1,通常,オールタイム,10500,2017-05-01,2018-05-31,1.0,1.0,1,1,2018-05-31,12
AS030590,0,XXX,C03,M,2019-03-08 00:00:00,,CA1,0,通常,ナイト,6000,2019-03-08,,12.0,12.0,12,12,2019-04-30,1
AS031206,1,XXXXX,C03,M,2016-12-01 00:00:00,,CA1,0,通常,ナイト,6000,2016-12-01,,5.25,5.0,7,4,2019-04-30,28
AS036678,1,XXXXX,C01,M,2016-05-01 00:00:00,,CA1,0,通常,オールタイム,10500,2016-05-01,,5.083333333333333,5.5,8,2,2019-04-30,35
AS038564,1,XXXXX,C01,M,2015-10-01 00:00:00,,CA1,0,通常,オールタイム,10500,2015-10-01,,4.166666666666667,4.5,6,2,2019-04-30,42
AS040841,1,XXXXX,C01,F,2017-05-01 00:00:00,,CA1,0,通常,オールタイム,10500,2017-05-01,,6.0,6.0,10,4,2019-04-30,23
AS040860,1,XXXXXX,C01,M,2016-08-01 00:00:00,,CA1,0,通常,オールタイム,10500,2016-08-01,,5.5,6.0,8,2,2019-04-30,32
AS046594,1,XXX,C01,M,2018-03-01 00:00:00,,CA1,0,通常,オールタイム,10500,2018-03-01,,7.166666666666667,7.0,10,5,2019-04-30,13
AS047907,1,XXX,C01,M,2016-10-01 00:00:00,2018-08-31 00:00:00,CA1,1,通常,オールタイム,10500,2016-10-01,2018-08-31,4.0,4.0,5,3,2018-08-31,22
AS055659,1,XXXXX,C02,F,2018-01-01 00:00:00,,CA1,0,通常,デイタイム,7500,2018-01-01,,7.583333333333333,7.5,10,5,2019-04-30,15
AS055680,0,XXXXX,C01,M,2018-03-01 00:00:00,2018-06-30 00:00:00,CA1,1,通常,オールタイム,10500,2018-03-01,2018-06-30,3.0,3.0,3,3,2018-06-30,3
AS057808,1,XXXXX,C01,F,2016-08-01 00:00:00,,CA1,0,通常,オールタイム,10500,2016-08-01,,4.75,5.0,8,2,2019-04-30,32
AS058623,1,XXXXX,C01,F,2015-05-01 00:00:00,,CA1,0,通常,オールタイム,10500,2015-05-01,,4.5,5.0,6,3,2019-04-30,47
AS060041,1,XXXX,C01,M,2017-06-01 00:00:00,,CA1,0,通常,オールタイム,10500,2017-06-01,,6.666666666666667,7.0,9,4,2019-04-30,22
AS062717,1,XXXXX,C02,F,2018-07-07 00:00:00,2018-11-30 00:00:00,CA1,1,通常,デイタイム,7500,2018-07-07,2018-11-30,3.8,3.0,8,1,2018-11-30,4
AS065785,1,XXXXX,C02,F,2019-01-13 00:00:00,,CA1,0,通常,デイタイム,7500,2019-01-13,,8.333333333333334,8.0,9,8,2019-04-30,3
AS065870,1,XXXX,C01,M,2015-07-01 00:00:00,,CA1,0,通常,オールタイム,10500,2015-07-01,,4.666666666666667,4.0,8,3,2019-04-30,45
AS067995,1,XXXX,C03,M,2018-05-06 00:00:00,2018-08-31 00:00:00,CA2,1,入会費半額,ナイト,6000,2018-05-06,2018-08-31,5.25,5.0,9,2,2018-08-31,3
AS069263,0,XXX,C03,M,2018-05-08 00:00:00,2018-07-31 00:00:00,CA2,1,入会費半額,ナイト,6000,2018-05-08,2018-07-31,4.666666666666667,2.0,10,2,2018-07-31,2
AS069821,1,XXXXXX,C03,F,2015-05-01 00:00:00,,CA1,0,通常,ナイト,6000,2015-05-01,,4.083333333333333,3.5,7,2,2019-04-30,47
AS070625,1,XXXX,C02,F,2017-11-01 00:00:00,,CA1,0,通常,デイタイム,7500,2017-11-01,,6.0,6.5,9,3,2019-04-30,17
AS071660,1,XXXXX,C01,F,2017-03-01 00:00:00,,CA1,0,通常,オールタイム,10500,2017-03-01,,5.25,5.5,8,2,2019-04-30,25
AS073168,1,XXXXX,C01,M,2017-11-01 00:00:00,,CA1,0,通常,オールタイム,10500,2017-11-01,,6.083333333333333,6.0,8,3,2019-04-30,17
AS073285,1,XXXX,C01,M,2016-09-01 00:00:00,,CA1,0,通常,オールタイム,10500,2016-09-01,,4.916666666666667,4.5,8,2,2019-04-30,31
AS076940,0,XXXXX,C01,F,2019-03-12 00:00:00,,CA1,0,通常,オールタイム,10500,2019-03-12,,7.0,7.0,7,7,2019-04-30,1
AS077151,1,XXX,C02,F,2016-01-01 00:00:00,,CA1,0,通常,デイタイム,7500,2016-01-01,,5.166666666666667,5.0,9,3,2019-04-30,39
AS080039,0,XXXXXX,C01,M,2018-05-06 00:00:00,2018-07-31 00:00:00,CA2,1,入会費半額,オールタイム,10500,2018-05-06,2018-07-31,5.333333333333333,4.0,10,2,2018-07-31,2
AS082596,1,XXXXX,C01,M,2018-01-01 00:00:00,,CA1,0,通常,オールタイム,10500,2018-01-01,,6.5,6.5,9,4,2019-04-30,15
AS090627,1,XXX,C03,M,2018-11-01 00:00:00,2019-03-31 00:00:00,CA1,1,通常,ナイト,6000,2018-11-01,2019-03-31,5.2,6.0,9,1,2019-03-31,4
AS092144,1,XX,C01,F,2015-08-01 00:00:00,,CA1,0,通常,オールタイム,10500,2015-08-01,,4.333333333333333,4.0,8,1,2019-04-30,44
AS092688,1,XX,C02,M,2018-08-01 00:00:00,2019-01-31 00:00:00,CA1,1,通常,デイタイム,7500,2018-08-01,2019-01-31,4.5,5.0,7,2,2019-01-31,5
AS093634,1,XXX,C03,M,2018-10-07 00:00:00,,CA1,0,通常,ナイト,6000,2018-10-07,,8.166666666666666,8.0,10,7,2019-04-30,6
AS098763,0,XXXXX,C01,F,2017-02-01 00:00:00,2019-01-31 00:00:00,CA1,1,通常,オールタイム,10500,2017-02-01,2019-01-31,3.7,3.0,8,2,2019-01-31,23
AS099118,1,XXXXX,C01,M,2015-06-01 00:00:00,,CA1,0,通常,オールタイム,10500,2015-06-01,,4.5,5.0,6,1,2019-04-30,46
AS099984,1,XXX,C01,F,2015-06-01 00:00:00,,CA1,0,通常,オールタイム,10500,2015-06-01,,4.5,4.5,7,2,2019-04-30,46
AS100947,1,XXX,C03,M,2018-05-12 00:00:00,,CA2,0,入会費半額,ナイト,6000,2018-05-12,,6.909090909090909,8.0,9,3,2019-04-30,11
AS105107,1,XXXXX,C02,F,2015-10-01 00:00:00,,CA1,0,通常,デイタイム,7500,2015-10-01,,3.9166666666666665,4.0,7,1,2019-04-30,42
AS107662,1,XXXX,C03,F,2017-06-01 00:00:00,,CA1,0,通常,ナイト,6000,2017-06-01,,6.166666666666667,6.0,9,4,2019-04-30,22
AS108195,1,XXXXX,C01,M,2016-04-01 00:00:00,,CA1,0,通常,オールタイム,10500,2016-04-01,,4.166666666666667,4.0,6,2,2019-04-30,36
AS108507,1,XX,C03,M,2016-12-01 00:00:00,,CA1,0,通常,ナイト,6000,2016-12-01,,6.333333333333333,6.0,9,4,2019-04-30,28
AS113826,1,XXXX,C01,F,2017-02-01 00:00:00,,CA1,0,通常,オールタイム,10500,2017-02-01,,4.666666666666667,5.0,8,2,2019-04-30,26
AS115107,0,XXXX,C03,M,2018-03-01 00:00:00,2018-04-30 00:00:00,CA1,1,通常,ナイト,6000,2018-03-01,2018-04-30,2.0,2.0,2,2,2018-04-30,1
AS115149,1,XXXXX,C01,M,2018-05-11 00:00:00,2019-01-31 00:00:00,CA2,1,入会費半額,オールタイム,10500,2018-05-11,2019-01-31,4.111111111111111,3.0,7,1,2019-01-31,8
AS115629,1,XXXX,C01,F,2018-07-04 00:00:00,2019-03-31 00:00:00,CA1,1,通常,オールタイム,10500,2018-07-04,2019-03-31,3.4444444444444446,4.0,7,1,2019-03-31,8
AS116472,1,XXXXX,C01,F,2018-06-01 00:00:00,2018-11-30 00:00:00,CA2,1,入会費半額,オールタイム,10500,2018-06-01,2018-11-30,5.0,5.5,7,2,2018-11-30,5
AS118198,1,XX,C03,M,2018-12-09 00:00:00,,CA3,0,入会費無料,ナイト,6000,2018-12-09,,8.75,8.5,11,7,2019-04-30,4
AS123220,1,XXXXXX,C01,F,2017-03-01 00:00:00,,CA1,0,通常,オールタイム,10500,2017-03-01,,5.333333333333333,6.0,7,3,2019-04-30,25
AS124155,1,XXXXX,C01,M,2018-09-12 00:00:00,,CA1,0,通常,オールタイム,10500,2018-09-12,,8.857142857142858,8.0,12,6,2019-04-30,7
AS124354,1,XXXX,C03,M,2015-09-01 00:00:00,,CA1,0,通常,ナイト,6000,2015-09-01,,4.583333333333333,4.0,7,3,2019-04-30,43
AS131358,0,XXX,C03,F,2018-05-09 00:00:00,2018-07-31 00:00:00,CA2,1,入会費半額,ナイト,6000,2018-05-09,2018-07-31,5.666666666666667,5.0,9,3,2018-07-31,2
AS132988,1,XXXX,C01,M,2015-08-01 00:00:00,,CA1,0,通常,オールタイム,10500,2015-08-01,,5.333333333333333,5.5,7,2,2019-04-30,44
AS136184,1,XXXX,C03,M,2017-09-01 00:00:00,,CA1,0,通常,ナイト,6000,2017-09-01,,6.083333333333333,6.5,9,2,2019-04-30,19
AS137764,1,XXX,C02,M,2015-10-01 00:00:00,,CA1,0,通常,デイタイム,7500,2015-10-01,,4.666666666666667,5.0,6,2,2019-04-30,42
AS139288,1,XXXXX,C02,F,2018-11-09 00:00:00,,CA1,0,通常,デイタイム,7500,2018-11-09,,8.6,8.0,10,7,2019-04-30,5
AS141460,1,XXXXX,C03,M,2016-01-01 00:00:00,,CA1,0,通常,ナイト,6000,2016-01-01,,4.75,5.0,7,1,2019-04-30,39
AS145720,1,XXXX,C01,M,2018-10-02 00:00:00,,CA1,0,通常,オールタイム,10500,2018-10-02,,8.0,8.0,9,6,2019-04-30,6
AS147168,0,XXXXXX,C02,M,2017-07-01 00:00:00,2018-04-30 00:00:00,CA2,1,入会費半額,デイタイム,7500,2017-07-01,2018-04-30,1.0,1.0,1,1,2018-04-30,9
AS147485,1,XXXX,C01,M,2017-05-01 00:00:00,,CA1,0,通常,オールタイム,10500,2017-05-01,,5.416666666666667,5.5,8,1,2019-04-30,23
AS152185,1,XXXX,C03,M,2015-12-01 00:00:00,,CA1,0,通常,ナイト,6000,2015-12-01,,4.833333333333333,5.0,8,3,2019-04-30,40
AS157629,1,XXXX,C03,F,2017-10-01 00:00:00,2018-08-31 00:00:00,CA1,1,通常,ナイト,6000,2017-10-01,2018-08-31,3.2,3.0,6,2,2018-08-31,10
AS158438,1,XXXXXX,C01,M,2017-03-01 00:00:00,,CA1,0,通常,オールタイム,10500,2017-03-01,,5.333333333333333,5.0,8,2,2019-04-30,25
AS161071,1,XXXXX,C01,M,2018-02-01 00:00:00,,CA1,0,通常,オールタイム,10500,2018-02-01,,6.833333333333333,8.0,9,2,2019-04-30,14
AS163543,0,XXX,C02,M,2018-06-05 00:00:00,2018-10-31 00:00:00,CA2,1,入会費半額,デイタイム,7500,2018-06-05,2018-10-31,4.2,3.0,8,1,2018-10-31,4
AS169823,1,XX,C01,M,2017-11-01 00:00:00,2018-06-30 00:00:00,CA1,1,通常,オールタイム,10500,2017-11-01,2018-06-30,3.0,3.0,4,2,2018-06-30,7
AS170379,1,XXXX,C01,M,2017-03-01 00:00:00,,CA1,0,通常,オールタイム,10500,2017-03-01,,6.083333333333333,6.0,9,1,2019-04-30,25
AS170643,1,XXXX,C02,F,2018-09-12 00:00:00,,CA1,0,通常,デイタイム,7500,2018-09-12,,7.0,7.0,8,5,2019-04-30,7
AS171842,1,XXX,C01,M,2016-06-01 00:00:00,,CA1,0,通常,オールタイム,10500,2016-06-01,,5.75,6.0,8,3,2019-04-30,34
AS171994,1,XXX,C03,M,2015-07-01 00:00:00,,CA1,0,通常,ナイト,6000,2015-07-01,,4.583333333333333,5.0,6,3,2019-04-30,45
AS172434,0,XXXXX,C03,M,2018-10-05 00:00:00,2019-01-31 00:00:00,CA1,1,通常,ナイト,6000,2018-10-05,2019-01-31,5.5,6.0,7,3,2019-01-31,3
