customer_id,年月,count_pred,count_0,count_1,count_2,count_3,count_4,count_5,start_date,now_date,period
AS185951,201810,1,5.0,3.0,3.0,7.0,3.0,10.0,2018-04-09,2018-10-01,5
AS197200,201810,12,6.0,8.0,9.0,6.0,8.0,8.0,2018-04-15,2018-10-01,5
AS200286,201810,3,6.0,3.0,6.0,6.0,7.0,10.0,2018-04-06,2018-10-01,5
AS251169,201810,2,4.0,6.0,5.0,8.0,10.0,7.0,2018-04-03,2018-10-01,5
AS345469,201810,1,3.0,5.0,6.0,5.0,4.0,7.0,2018-04-12,2018-10-01,5
AS509237,201810,3,2.0,1.0,2.0,4.0,8.0,9.0,2018-04-06,2018-10-01,5
AS546422,201810,1,5.0,7.0,4.0,10.0,8.0,8.0,2018-04-10,2018-10-01,5
AS628722,201810,3,5.0,4.0,6.0,4.0,7.0,9.0,2018-04-15,2018-10-01,5
AS639549,201810,4,2.0,2.0,3.0,5.0,9.0,8.0,2018-04-15,2018-10-01,5
AS645809,201810,2,3.0,4.0,3.0,3.0,5.0,8.0,2018-04-06,2018-10-01,5
AS721170,201810,1,1.0,2.0,5.0,6.0,6.0,7.0,2018-04-12,2018-10-01,5
AS886872,201810,11,8.0,7.0,7.0,8.0,7.0,8.0,2018-04-12,2018-10-01,5
GD098851,201810,7,5.0,6.0,9.0,6.0,7.0,10.0,2018-04-12,2018-10-01,5
GD115456,201810,2,2.0,4.0,4.0,2.0,6.0,7.0,2018-04-05,2018-10-01,5
GD165203,201810,2,5.0,1.0,3.0,6.0,7.0,8.0,2018-04-14,2018-10-01,5
GD174951,201810,3,4.0,4.0,4.0,6.0,9.0,5.0,2018-04-14,2018-10-01,5
GD210507,201810,3,5.0,6.0,7.0,6.0,6.0,8.0,2018-04-11,2018-10-01,5
GD325851,201810,8,8.0,6.0,5.0,8.0,9.0,10.0,2018-04-13,2018-10-01,5
GD475433,201810,3,3.0,5.0,2.0,3.0,9.0,9.0,2018-04-12,2018-10-01,5
GD563242,201810,4,7.0,11.0,9.0,8.0,10.0,13.0,2018-04-05,2018-10-01,5
GD646501,201810,2,4.0,4.0,5.0,6.0,5.0,10.0,2018-04-12,2018-10-01,5
GD716223,201810,8,9.0,7.0,6.0,9.0,7.0,11.0,2018-04-15,2018-10-01,5
GD768522,201810,2,2.0,4.0,6.0,5.0,5.0,6.0,2018-04-08,2018-10-01,5
GD921810,201810,1,4.0,3.0,6.0,6.0,6.0,7.0,2018-04-11,2018-10-01,5
HD032015,201810,4,4.0,5.0,6.0,8.0,10.0,7.0,2018-04-14,2018-10-01,5
HD069655,201810,3,5.0,3.0,7.0,4.0,5.0,9.0,2018-04-15,2018-10-01,5
HD104614,201810,3,4.0,5.0,3.0,6.0,8.0,8.0,2018-04-15,2018-10-01,5
HD146199,201810,9,7.0,7.0,8.0,9.0,9.0,10.0,2018-04-09,2018-10-01,5
HD218970,201810,3,4.0,4.0,4.0,5.0,7.0,8.0,2018-04-02,2018-10-01,5
HD293656,201810,3,4.0,2.0,5.0,4.0,9.0,8.0,2018-04-12,2018-10-01,5
HD295608,201810,3,1.0,4.0,3.0,4.0,8.0,6.0,2018-04-11,2018-10-01,5
HD351145,201810,4,3.0,2.0,4.0,5.0,6.0,7.0,2018-04-04,2018-10-01,5
HD402002,201810,6,7.0,10.0,12.0,9.0,6.0,9.0,2018-04-13,2018-10-01,5
HD426886,201810,7,9.0,11.0,8.0,8.0,8.0,10.0,2018-04-05,2018-10-01,5
HD523855,201810,4,6.0,5.0,7.0,8.0,7.0,9.0,2018-04-04,2018-10-01,5
HD571515,201810,2,5.0,5.0,7.0,8.0,9.0,6.0,2018-04-15,2018-10-01,5
HD580454,201810,7,5.0,11.0,10.0,9.0,7.0,10.0,2018-04-05,2018-10-01,5
HD634523,201810,1,1.0,5.0,6.0,7.0,6.0,7.0,2018-04-13,2018-10-01,5
HD677310,201810,4,4.0,4.0,3.0,6.0,4.0,10.0,2018-04-09,2018-10-01,5
HD717249,201810,1,1.0,3.0,5.0,6.0,7.0,10.0,2018-04-14,2018-10-01,5
HD814444,201810,9,6.0,6.0,10.0,6.0,8.0,12.0,2018-04-04,2018-10-01,5
HD874104,201810,3,3.0,3.0,4.0,4.0,7.0,5.0,2018-04-14,2018-10-01,5
HD981197,201810,4,3.0,3.0,6.0,7.0,7.0,7.0,2018-04-15,2018-10-01,5
HI049184,201810,1,2.0,2.0,3.0,8.0,5.0,8.0,2018-04-15,2018-10-01,5
HI140097,201810,5,4.0,5.0,6.0,8.0,7.0,10.0,2018-04-07,2018-10-01,5
HI302801,201810,2,1.0,4.0,3.0,8.0,9.0,7.0,2018-04-05,2018-10-01,5
HI331377,201810,9,7.0,8.0,8.0,7.0,7.0,10.0,2018-04-11,2018-10-01,5
HI367242,201810,6,8.0,7.0,8.0,9.0,10.0,8.0,2018-04-07,2018-10-01,5
HI368031,201810,9,8.0,3.0,8.0,8.0,8.0,10.0,2018-04-03,2018-10-01,5
HI402688,201810,3,6.0,6.0,5.0,6.0,7.0,8.0,2018-04-12,2018-10-01,5
HI570258,201810,2,4.0,2.0,5.0,5.0,6.0,11.0,2018-04-11,2018-10-01,5
HI596179,201810,1,4.0,3.0,3.0,4.0,5.0,11.0,2018-04-06,2018-10-01,5
HI599889,201810,8,6.0,8.0,6.0,8.0,6.0,10.0,2018-04-13,2018-10-01,5
HI606358,201810,6,5.0,1.0,3.0,4.0,8.0,11.0,2018-04-14,2018-10-01,5
IK042838,201810,10,8.0,7.0,6.0,7.0,9.0,10.0,2018-04-04,2018-10-01,5
IK057216,201810,4,3.0,4.0,4.0,6.0,9.0,11.0,2018-04-11,2018-10-01,5
IK082424,201810,4,5.0,7.0,7.0,7.0,9.0,8.0,2018-04-14,2018-10-01,5
